instancia,ejecucion,fit
mscp410,1,608
mscp410,2,605
mscp410,3,612
mscp410,4,612
mscp410,5,612
mscp410,6,608
mscp410,7,596
mscp410,8,612
mscp410,9,588
mscp410,10,612
mscp410,11,608
mscp410,12,602
mscp410,13,602
mscp410,14,602
mscp410,15,612
mscp410,16,602
mscp410,17,612
mscp410,18,612
mscp410,19,612
mscp410,20,612
mscp410,21,612
mscp410,22,609
mscp410,23,612
mscp410,24,612
mscp410,25,612
mscp410,26,597
mscp410,27,602
mscp410,28,602
mscp410,29,609
mscp410,30,609
mscp410,31,612
mscp510,1,311
mscp510,2,311
mscp510,3,307
mscp510,4,302
mscp510,5,311
mscp510,6,308
mscp510,7,312
mscp510,8,309
mscp510,9,312
mscp510,10,308
mscp510,11,312
mscp510,12,306
mscp510,13,308
mscp510,14,310
mscp510,15,312
mscp510,16,308
mscp510,17,312
mscp510,18,310
mscp510,19,309
mscp510,20,312
mscp510,21,310
mscp510,22,312
mscp510,23,308
mscp510,24,312
mscp510,25,308
mscp510,26,311
mscp510,27,306
mscp510,28,309
mscp510,29,311
mscp510,30,312
mscp510,31,308
mscp65,1,205
mscp65,2,208
mscp65,3,204
mscp65,4,204
mscp65,5,199
mscp65,6,208
mscp65,7,208
mscp65,8,205
mscp65,9,200
mscp65,10,204
mscp65,11,204
mscp65,12,204
mscp65,13,204
mscp65,14,203
mscp65,15,204
mscp65,16,205
mscp65,17,205
mscp65,18,205
mscp65,19,202
mscp65,20,203
mscp65,21,205
mscp65,22,203
mscp65,23,207
mscp65,24,203
mscp65,25,205
mscp65,26,208
mscp65,27,199
mscp65,28,205
mscp65,29,205
mscp65,30,205
mscp65,31,204
mscpa5,1,274
mscpa5,2,271
mscpa5,3,272
mscpa5,4,276
mscpa5,5,272
mscpa5,6,279
mscpa5,7,271
mscpa5,8,274
mscpa5,9,277
mscpa5,10,277
mscpa5,11,278
mscpa5,12,278
mscpa5,13,277
mscpa5,14,272
mscpa5,15,271
mscpa5,16,274
mscpa5,17,274
mscpa5,18,277
mscpa5,19,277
mscpa5,20,274
mscpa5,21,279
mscpa5,22,274
mscpa5,23,277
mscpa5,24,271
mscpa5,25,274
mscpa5,26,277
mscpa5,27,274
mscpa5,28,272
mscpa5,29,267
mscpa5,30,272
mscpa5,31,272
mscpb5,1,88
mscpb5,2,91
mscpb5,3,89
mscpb5,4,90
mscpb5,5,91
mscpb5,6,92
mscpb5,7,89
mscpb5,8,89
mscpb5,9,89
mscpb5,10,86
mscpb5,11,89
mscpb5,12,91
mscpb5,13,89
mscpb5,14,86
mscpb5,15,91
mscpb5,16,89
mscpb5,17,90
mscpb5,18,87
mscpb5,19,89
mscpb5,20,89
mscpb5,21,89
mscpb5,22,90
mscpb5,23,90
mscpb5,24,89
mscpb5,25,86
mscpb5,26,89
mscpb5,27,87
mscpb5,28,88
mscpb5,29,89
mscpb5,30,89
mscpb5,31,91
mscpc5,1,251
mscpc5,2,255
mscpc5,3,256
mscpc5,4,251
mscpc5,5,251
mscpc5,6,258
mscpc5,7,255
mscpc5,8,257
mscpc5,9,250
mscpc5,10,256
mscpc5,11,248
mscpc5,12,256
mscpc5,13,256
mscpc5,14,257
mscpc5,15,251
mscpc5,16,251
mscpc5,17,248
mscpc5,18,251
mscpc5,19,251
mscpc5,20,254
mscpc5,21,252
mscpc5,22,259
mscpc5,23,256
mscpc5,24,255
mscpc5,25,251
mscpc5,26,249
mscpc5,27,258
mscpc5,28,257
mscpc5,29,255
mscpc5,30,257
mscpc5,31,255
mscpd5,1,71
mscpd5,2,73
mscpd5,3,71
mscpd5,4,71
mscpd5,5,71
mscpd5,6,71
mscpd5,7,71
mscpd5,8,71
mscpd5,9,71
mscpd5,10,71
mscpd5,11,71
mscpd5,12,71
mscpd5,13,72
mscpd5,14,71
mscpd5,15,70
mscpd5,16,72
mscpd5,17,71
mscpd5,18,72
mscpd5,19,71
mscpd5,20,71
mscpd5,21,71
mscpd5,22,72
mscpd5,23,71
mscpd5,24,71
mscpd5,25,72
mscpd5,26,71
mscpd5,27,71
mscpd5,28,71
mscpd5,29,71
mscpd5,30,70
mscpd5,31,71
mscpnre5,1,35
mscpnre5,2,35
mscpnre5,3,35
mscpnre5,4,34
mscpnre5,5,33
mscpnre5,6,35
mscpnre5,7,35
mscpnre5,8,34
mscpnre5,9,35
mscpnre5,10,34
mscpnre5,11,33
mscpnre5,12,35
mscpnre5,13,33
mscpnre5,14,34
mscpnre5,15,34
mscpnre5,16,35
mscpnre5,17,35
mscpnre5,18,34
mscpnre5,19,35
mscpnre5,20,35
mscpnre5,21,33
mscpnre5,22,35
mscpnre5,23,32
mscpnre5,24,34
mscpnre5,25,35
mscpnre5,26,34
mscpnre5,27,35
mscpnre5,28,33
mscpnre5,29,34
mscpnre5,30,34
mscpnre5,31,35
mscpnrf5,1,16
mscpnrf5,2,16
mscpnrf5,3,16
mscpnrf5,4,16
mscpnrf5,5,16
mscpnrf5,6,16
mscpnrf5,7,16
mscpnrf5,8,16
mscpnrf5,9,16
mscpnrf5,10,16
mscpnrf5,11,16
mscpnrf5,12,16
mscpnrf5,13,18
mscpnrf5,14,16
mscpnrf5,15,16
mscpnrf5,16,16
mscpnrf5,17,17
mscpnrf5,18,16
mscpnrf5,19,16
mscpnrf5,20,16
mscpnrf5,21,16
mscpnrf5,22,16
mscpnrf5,23,16
mscpnrf5,24,16
mscpnrf5,25,16
mscpnrf5,26,16
mscpnrf5,27,16
mscpnrf5,28,16
mscpnrf5,29,16
mscpnrf5,30,16
mscpnrf5,31,16
mscpnrg5,1,222
mscpnrg5,2,224
mscpnrg5,3,221
mscpnrg5,4,221
mscpnrg5,5,225
mscpnrg5,6,223
mscpnrg5,7,222
mscpnrg5,8,222
mscpnrg5,9,224
mscpnrg5,10,224
mscpnrg5,11,219
mscpnrg5,12,221
mscpnrg5,13,227
mscpnrg5,14,226
mscpnrg5,15,223
mscpnrg5,16,220
mscpnrg5,17,225
mscpnrg5,18,222
mscpnrg5,19,223
mscpnrg5,20,224
mscpnrg5,21,223
mscpnrg5,22,222
mscpnrg5,23,219
mscpnrg5,24,222
mscpnrg5,25,222
mscpnrg5,26,223
mscpnrg5,27,222
mscpnrg5,28,220
mscpnrg5,29,221
